款,項,目,節,説明,R6,R7
,,,役務費,通信運搬費 53000、広告料 484000,,537000
,,,使用料及び賃借料,,,10000
,,,負担金、補助及び交付金,負担金 44000、補助金 3370000,,3414000
,,男女共同参画費,,,18386000,16151000
,,,報酬,,,7204000
,,,,男女共同参画審議会委員（人数 10）,,303000
,,,,パートタイム会計年度任用職員,,9031000
,,,職員手当等,期末手当 841000、勤勉手当 103000,,944000
,,,共済費,,,906000
,,,報償費,,,2214000
,,,旅費,費用弁償 292000、普通旅費 8000、特別旅費 5000,,305000
,,,需用費,消耗品費 202000、食糧費 16000、印刷製本費 431000,,649000
,,,役務費,通信運搬費 84000,,84000
,,,委託料,,,3783000
,,,使用料及び賃借料,,,12000
,,,備品購入費,,,50000
,,財政管理費,,,4782000,4185000
,,,報酬,,,820000
,,,,補助金等審査会委員（人数 5）,,820000
,,,旅費,費用弁償 11000、普通旅費 19000、特別旅費 84000,,114000
,,,需用費,消耗品費 183000、食糧費 41000、印刷製本費 287000,,511000
,,,委託料,,,1650000
,,,負担金、補助及び交付金,負担金 89000,,89000
,,,積立金,,,1001000
,,会計管理費,,,31186000,61782000
,,,報酬,パートタイム会計年度任用職員 846000,,674000
,,,共済費,,,122000
,,,旅費,費用弁償 50000、普通旅費 3000、特別旅費 32000,,85000
,,,需用費,消耗品費 15679000、印刷製本費 1634000,,17313000
,,,役務費,通信運搬費 3366000、手数料 39278000、保険料 216000,,42860000
,,,委託料,,,418000
,,,使用料及び賃借料,,,275000
,,,負担金、補助及び交付金,負担金 35000,,35000
,,契約管理費,,,7044000,7512000
,,,報酬,,,2411000
,,,,入札監視委員会委員（人数 5）,,100000
,,,,パートタイム会計年度任用職員,,3431000
,,,職員手当等,期末手当 463000、勤勉手当 57000,,520000
,,,共済費,,,478000
,,,旅費,費用弁償 128000、普通旅費 16000、特別旅費 7000,,151000
,,,需用費,消耗品費 281000、食糧費 2000、印刷製本費 280000,,563000
,,,使用料及び賃借料,,,52000
,,,負担金、補助及び交付金,負担金 3337000,,3337000
,,工事検査費,,,542000,553000
,,,旅費,普通旅費 10000、特別旅費 41000,,51000
,,,需用費,消耗品費 240000、印刷製本費 76000,,316000
,,,役務費,筆耕翻訳料 18000,,18000
,,,使用料及び賃借料,,,20000
,,,備品購入費,,,58000
,,,負担金、補助及び交付金,負担金 90000,,90000
,,財産管理費,,,565019000,681770000
,,,報酬,パートタイム会計年度任用職員 23985000,,16734000
,,,職員手当等,期末手当 3264000、勤勉手当 400000,,3664000
,,,共済費,,,3089000
,,,旅費,費用弁償 498000、普通旅費 6000、特別旅費 46000,,550000
,,,需用費,消耗品費 4105000、燃料費 236000、食糧費 100000、印刷製本費 120000、光熱水費 64146000、修繕料 107176000,,175883000
,,,役務費,通信運搬費 28129000、広告料 215000、手数料 3223000、保険料 20110000,,51677000
,,,委託料,,,419481000
,,,使用料及び賃借料,,,3304000
,,,工事請負費,,,2569000
,,,備品購入費,,,4691000
,,,負担金、補助及び交付金,負担金 128000,,128000
,,資産経営費,,,66295000,114164000
,,,報酬,,,1350000
,,,,指定管理者選定評価委員会委員（人数 19）,,1350000
,,,旅費,費用弁償 25000、普通旅費 23000、特別旅費 89000,,137000
,,,需用費,消耗品費 20000、食糧費 13000、印刷製本費 448000,,481000
,,,委託料,,,38628000
,,,使用料及び賃借料,,,465000
,,,負担金、補助及び交付金,負担金 144000,,144000
,,,積立金,,,72959000
,,公用車管理費,,,67557000,68404000
,,,報酬,パートタイム会計年度任用職員 6732000,,4764000
,,,職員手当等,期末手当 952000、勤勉手当 117000,,1069000
,,,共済費,,,699000
,,,旅費,費用弁償 206000、普通旅費 15000、特別旅費 1000,,222000
,,,需用費,消耗品費 2227000、燃料費 14792000、印刷製本費 23000、修繕料 11906000,,28948000
,,,役務費,手数料 548000、自動車損害保険料 4573000,,5121000
,,,使用料及び賃借料,,,1012000
,,,備品購入費,,,25310000
,,,負担金、補助及び交付金,負担金 272000,,272000
,,,公課費,,,987000
,,企画費,,,20543000,27610000
,,,報償費,,,1618000
,,,旅費,費用弁償 271000、普通旅費 758000、特別旅費 1800000,,2829000
,,,需用費,消耗品費 438000、食糧費 6000、印刷製本費 674000、修繕料 2085000,,3203000
,,,委託料,,,8746000
,,,使用料及び賃借料,,,27000
,,,備品購入費,,,1921000
,,,負担金、補助及び交付金,負担金 981000、補助金 8230000,,9211000
,,,積立金,,,55000
,,行政経営費,,,3611000,71982000
,,,旅費,普通旅費 29000、特別旅費 187000,,216000
,,,需用費,消耗品費 51000、印刷製本費 123000、修繕料 1160000,,1334000
,,,委託料,,,68909000
,,,使用料及び賃借料,,,1458000
,,,負担金、補助及び交付金,負担金 65000,,65000
,,情報システム費,,,1644013000,2381923000
,,,報償費,,,297000
,,,旅費,費用弁償 91000、普通旅費 200000、特別旅費 180000,,471000
,,,需用費,消耗品費 1766000、印刷製本費 906000、修繕料 2206000,,4878000
,,,役務費,通信運搬費 64900000、手数料 7036000,,71936000
,,,委託料,,,1945744000
,,,使用料及び賃借料,,,348303000
,,,負担金、補助及び交付金,負担金 1437000、交付金 8857000,,10294000
,,公平委員会費,,,455000,477000
,,,報酬,,,210000
,,,,公平委員（人数 3）,,210000
,,,旅費,費用弁償 70000、特別旅費 64000,,134000
,,,需用費,消耗品費 15000、食糧費 1000,,16000
,,,負担金、補助及び交付金,負担金 117000,,117000
,,地域振興費,,,143978000,146712000
,,,報酬,,,1806000
,,,,まちづくり活動推進審議会委員（人数 12）,,107000
,,,,パートタイム会計年度任用職員,,2533000
,,,職員手当等,期末手当 340000、勤勉手当 42000,,382000
,,,共済費,,,368000
,,,報償費,,,910000
,,,旅費,費用弁償 99000、普通旅費 15000、特別旅費 55000,,169000
,,,需用費,消耗品費 1566000、食糧費 2000、印刷製本費 260000,,1828000
,,,役務費,手数料 41011000、保険料 220000,,41231000
,,,委託料,,,1800000
,,,負担金、補助及び交付金,負担金 40000、補助金 76479000、交付金 21699000,,98218000
,,住居表示整備費,,,81000,46000
,,,需用費,消耗品費 46000,,46000
,,式典行事費,,,2041000,1258000
,,,報酬,,,50000
,,,,表彰審査委員会委員（人数 5）,,50000
,,,報償費,,,845000
,,,需用費,消耗品費 42000、食糧費 4000、印刷製本費 256000,,302000
,,,役務費,手数料 2000、筆耕翻訳料 39000,,41000
,,,使用料及び賃借料,,,20000
,,多文化共生費,,,26848000,28499000
,,,報酬,,,15712000
,,,職員手当等,期末手当 2358000、勤勉手当 289000,,2647000
,,,共済費,,,2540000
,,,報償費,,,2014000
,,,旅費,費用弁償 1193000、普通旅費 9000、特別旅費 13000,,1215000
,,,需用費,消耗品費 118000、印刷製本費 268000、光熱水費 592000,,978000
,,,役務費,通信運搬費 252000、筆耕翻訳料 230000,,482000
,,,委託料,,,2030000
,,,使用料及び賃借料,,,691000
,,,負担金、補助及び交付金,補助金 190000,,190000
,,防犯まちづくり費,,,59966000,59465000
,,,報酬,,,91000
,,,,生活安全推進協議会委員（人数 13）,,91000
,,,報償費,,,214000
,,,旅費,普通旅費 16000,,16000
,,,需用費,消耗品費 422000、印刷製本費 109000、光熱水費 764000、修繕料 300000,,1595000
,,,役務費,手数料 12000、自動車損害保険料 25000,,37000
,,,使用料及び賃借料,,,72000
,,,工事請負費,,,2294000
,,,備品購入費,,,2389000
,,,負担金、補助及び交付金,負担金 7470000、補助金 45250000,,52720000
,,,公課費,,,37000
,,交通安全対策費,,,54985000,60427000
,,,報酬,パートタイム会計年度任用職員 2551000,,1714000
,,,職員手当等,期末手当 343000、勤勉手当 42000,,385000
,,,共済費,,,368000
,,,報償費,,,16755000
,,,旅費,費用弁償 84000、普通旅費 14000、特別旅費 3000,,101000
,,,需用費,消耗品費 4787000、印刷製本費 250000,,5037000
,,,役務費,通信運搬費 1353000、手数料 1279000、保険料 39000,,2671000
,,,委託料,,,3005000
,,,負担金、補助及び交付金,負担金 30391000,,30391000
,,市民活動支援費,,,29246000,30112000
,,,報酬,,,533000
,,,,市民協働推進審議会委員（人数 11）,,533000
,,,報償費,,,308000
,,,旅費,費用弁償 19000、普通旅費 7000,,26000
,,,需用費,消耗品費 39000、印刷製本費 64000、修繕料 300000,,403000
,,,役務費,保険料 3300000,,3300000
,,,委託料,,,23408000
,,,使用料及び賃借料,,,1594000
,,,備品購入費,,,40000
,,,負担金、補助及び交付金,補助金 500000,,500000
,,市民交流施設費,,,122592000,113957000
,,,需用費,消耗品費 1000、印刷製本費 8000、修繕料 10254000,,10263000
,,,委託料,,,96279000
,,,工事請負費,,,7315000
,,,備品購入費,,,100000
,,まちづくりセンター費,,,632665000,650599000
,,,報酬,,,55492000
,,,給料,,,195633000
,,,,一般職（人数 49）,,374639000
,,,職員手当等,扶養手当 2288000、地域手当 5941000、住居手当 1911000、通勤手当 5543000、時間外勤務手当 20000000、休日勤務手当 500000、期末手当 54369000、勤勉手当 36709000,,127261000
,,,共済費,,,75573000
,,,旅費,費用弁償 2467000、普通旅費 36000,,2503000
,,,需用費,消耗品費 5587000、燃料費 414000、食糧費 10000、印刷製本費 1038000、光熱水費 36367000、修繕料 7797000,,51213000
,,,役務費,通信運搬費 4490000、手数料 2719000,,7209000
,,,委託料,,,114977000
,,,使用料及び賃借料,,,11083000
,,,工事請負費,,,8395000
,,,備品購入費,,,1000000
,,,負担金、補助及び交付金,補助金 260000,,260000
,,まちづくりセンター建設費,,,226305000,250879000
,,,旅費,普通旅費 79000,,79000
,,,需用費,印刷製本費 50000,,50000
,,,役務費,手数料 6000,,6000
,,,委託料,,,18425000
,,,工事請負費,,,226724000
,,,備品購入費,,,5500000
,,,負担金、補助及び交付金,負担金 95000,,95000
,,財政調整基金費,,,735108000,20492000
,,,積立金,,,20492000
,,諸費,,,161000000,161000000
,,,補償、補填及び賠償金,賠償金 1000000,,1000000
,,,償還金、利子及び割引料,,,160000000
,徴税費,,,,927003000,850689000
,,税務総務費,,,616446000,648430000
,,,報酬,,,14346000
,,,,固定資産評価審査委員会委員（人数 3）,,330000
,,,,パートタイム会計年度任用職員,,21001000
,,,給料,,,315713000
,,,,一般職（人数 89）,,608164000
,,,職員手当等,管理職手当 3014000、扶養手当 4751000、地域手当 9702000、住居手当 3688000、通勤手当 7672000、特殊勤務手当 1200000、時間外勤務手当 30668000、休日勤務手当 230000、期末手当 74776000、勤勉手当 57019000,,192720000
,,,共済費,,,105924000
,,,報償費,,,6000
,,,旅費,費用弁償 792000、普通旅費 17000、特別旅費 99000,,908000
,,,需用費,消耗品費 651000、食糧費 7000、印刷製本費 620000、修繕料 50000,,1328000
,,,役務費,通信運搬費 136000、手数料 4000,,140000
,,,委託料,,,16814000
,,,使用料及び賃借料,,,45000
,,,負担金、補助及び交付金,負担金 486000,,486000
,,賦課徴収費,,,196603000,202259000
,,,報酬,,,22920000
,,,,パートタイム会計年度任用職員（市民税）,,13693000
,,,,パートタイム会計年度任用職員（資産税）,,7085000
,,,職員手当等,期末手当 3526000、勤勉手当 433000,,3959000
,,,共済費,,,4483000
,,,報償費,,,274000
,,,旅費,費用弁償 1388000、普通旅費 306000、特別旅費 412000,,2106000
,,,需用費,消耗品費 2907000、印刷製本費 4294000,,7201000
,,,役務費,通信運搬費 41412000、手数料 11808000,,53220000
,,,委託料,,,54740000
,,,使用料及び賃借料,,,17610000
,,,備品購入費,,,20000
,,,負担金、補助及び交付金,負担金 35226000,,35226000
,,,償還金、利子及び割引料,,,500000
,戸籍住民基本台帳費,,,,487942000,495496000
,,戸籍住民基本台帳費,,,487942000,495496000
,,,報酬,,,42853000
,,,,一般職（人数 39）,,261022000
,,,,パートタイム会計年度任用職員,,62972000
,,,給料,,,135489000
,,,職員手当等,管理職手当 797000、扶養手当 1674000、地域手当 4149000、住居手当 1112000、通勤手当 3834000、時間外勤務手当 13440000、休日勤務手当 150000、期末手当 38641000、勤勉手当 25405000,,89202000
,,,共済費,,,54327000
