款,項,目,節,説明,R6,R7
,,民生費補助金,,,1147262000,1110807000
,,,社会福祉費補,"備考 重層的支援体制整備事業交付金 11,523",,13856000
,,衛生費補助金,,,53474000,50760000
,,,保健衛生費補,"備考 地震・津波対策等減災交付金 2,383",,38913000
,,労働費補助金,,,350000,583000
,,,労働費補助金,備考 ふじのくにフロンティア推進エリア形成事業費補助金 583,,583000
,,農林水産業費補助金,,,87435000,66990000
,,,農業費補助金,"備考 農業委員会交付金 3,113",,47032000
,,商工費補助金,,,238275000,161419000
,,,商工費補助金,"備考 工業用地等開発可能性基本調査費補助金 2,500",,161419000
,,土木費補助金,,,121560000,435053000
,,,土木管理費補,"備考 地籍調査事業費補助金 6,639",,6803000
,,消防費補助金,,,95247000,95954000
,,,消防費補助金,"備考 地震・津波対策等減災交付金（消防分） 66,880",,95954000
,,教育費補助金,,,126282000,114307000
,,,教育総務費補,備考 部活動地域移行体制整備事業費補助金 157,,6475000
,県委託金,,,,,473216000
,,総務費委託金,,,475290000,443634000
,,,総務管理費委,備考 地方自治法取扱事務委託金 1,,1030000
,,民生費委託金,,,6272000,8227000
,,,社会福祉費委,備考 人権啓発活動事業委託金 961,,3554000
,,衛生費委託金,,,16781000,14190000
,,,保健衛生費委,"備考 動物の愛護及び管理事務委託金 1,027",,1027000
,,農林水産業費委託金,,,1997000,2073000
,,,農業費委託金,備考 農地法関係取扱事務委託金 214,,249000
,,商工費委託金,,,296000,186000
,,,商工費委託金,備考 中小企業等協同組合法関係取扱事務委託金 177,,186000
,,土木費委託金,,,946000,1180000
,,,土木管理費委,備考 国有財産事務委託金 197,,197000
,,消防費委託金,,,418000,418000
,,,消防費委託金,備考 高圧ガス立入検査取扱事務委託金 20,,418000
,,教育費委託金,,,2647000,3308000
,,,社会教育費委,"備考 文化財保護事務委託金 3,308",,3308000
財産収入,,,,,,286054000
,財産運用収入,,,,,120923000
,,財産貸付収入,,,81961000,82924000
,,,土地建物貸付,"備考 市有土地貸付料 44,727",,82924000
,,利子及び配当金,,,19645000,37999000
,,,基金利子,"備考 財政調整基金利子 20,492",,36406000
,財産売払収入,,,,,165131000
,,不動産売払収入,,,90271000,153399000
,,,土地売払収入,"備考 市有土地売払収入 153,398",,153398000
,,物品売払収入,,,8338000,7847000
,,,物品売払収入,備考 都市計画図等売払収入 193,,7847000
,,立木売払収入,,,4545000,3885000
,,,立木売払収入,"備考 間伐材等売払収入 3,885",,3885000
寄附金,,,,,,3506306000
,寄附金,,,,,3506306000
,,総務費寄附金,,,1502500000,3502000000
,,,総務管理費寄,"備考 ふるさと納税寄附金 3,500,000",,3502000000
,,民生費寄附金,,,2000000,2000000
,,,社会福祉費寄,"備考 福祉基金寄附金 2,000",,2000000
,,衛生費寄附金,,,1801000,1801000
,,,環境対策費寄,"備考 ブナ林創造事業寄附金 1,800",,1800000
,,消防費寄附金,,,2000,2000
,,教育費寄附金,,,503000,503000
繰入金,,,,,,849080000
,特別会計繰入金,,,,,130494000
,,後期高齢者医療事業特別会計繰入金,,,1000,1000
,,介護保険事業特別会計繰入金,,,15204000,100743000
,,,介護保険事業,備考 高齢者対策事業費充当 299,,100743000
,,駐車場事業特別会計繰入金,,,26000000,29000000
,,,駐車場事業特,"備考 駐車場事業特別会計繰入金 29,000",,29000000
,,鈴川財産区他特別会計繰入金,,,700000,750000
,,,鈴川財産区他,備考 森林被害木対策事業費充当 750,,750000
,基金繰入金,,,,,718586000
,,財政調整基金繰入金,,,400000000,300000000
,,,財政調整基金,"備考 財源調整分 300,000",,300000000
,,育英奨学基金繰入金,,,5000000,5000000
,,,育英奨学基金,"備考 育英奨学資金事業費充当 5,000",,5000000
,,福祉基金繰入金,,,28470000,24914000
,,,福祉基金繰入,備考 女性保護相談事業費充当 50,,24914000
,,国際交流基金繰入金,,,2000000,5500000
,,,国際交流基金,"備考 海外都市交流事業費充当 5,500",,5500000
,,文化振興基金繰入金,,,7500000,8209000
,,,文化振興基金,"備考 文化振興基金助成費充当 1,800",,8209000
,,教育振興基金繰入金,,,2560000,2560000
,,,教育振興基金,"備考 教育研究事業費充当 2,000",,2560000
,,ふるさと・水と土基金繰入金,,,1000000,1000000
,,,ふるさと・水,"備考 農用地地域共同活動事業費充当 1,000",,1000000
,,新環境クリーンセンター建設基金繰入金,,,179000000,100000000
,,,新環境クリー,"備考 新環境クリーンセンター建設事業費充当 100,000",,100000000
,,大村教育施設等整備基金繰入金,,,16000000,20000000
,,,大村教育施設,"備考 古谿荘保護管理事業費充当 20,000",,20000000
,,公共建築物保全基金繰入金,,,200000000,200000000
,,,公共建築物保,"備考 まちづくりセンターリニューアル事業費充当 20,000",,200000000
,,総合体育館建設基金繰入金,,,310000000,3515000
,,,総合体育館建,"備考 総合体育館建設事業費充当 3,515",,3515000
,,ふるさと応援基金繰入金,,,1096000,1467000
,,,ふるさと応援,備考 魅力創造発信事業費充当 110,,1467000
,,森林環境基金繰入金,,,36060000,38641000
,,,森林環境基金,"備考 林業振興事業費充当 3,000",,38641000
,,富士・愛鷹山麓地域森林機能保全基金繰入金,,,0,1800000
,,,富士・愛鷹山,"備考 富士・愛鷹山麓地域環境管理計画推進事業費充当 1,800",,1800000
,,企業版ふるさと納税基金繰入金,,,0,5980000
,,,企業版ふるさ,"備考 ＳＤＧｓ推進事業費充当 4,980",,5980000
繰越金,,,,,,1000000000
,繰越金,,,,,1000000000
,,前年度繰越金,,,1000000000,1000000000
,,,前年度繰越金,"備考 前年度繰越金 1,000,000",,1000000000
諸収入,,,,,,3207031000
,延滞金加算金及び過料,,,,,30002000
,,延滞金,,,30000000,30000000
,,,延滞金,"備考 市税等に係る延滞金 30,000",,30000000
,,加算金,,,1000,1000
,,過料,,,1000,1000
,市預金利子,,,,,2799000
,,預金利子,,,407000,2799000
,,,預金利子,"備考 預金利子 2,799",,2799000
,貸付金元利収入,,,,,8000000
,,重度医療費等貸付金収入,,,1000000,1000000
,,,重度医療費等,"備考 重度医療費等貸付金収入 1,000",,1000000
,,中小企業経営活性化資金貸付金収入,,,16000000,7000000
,,,中小企業経営,"備考 商工組合中央金庫預託金収入 7,000",,7000000
,受託事業収入,,,,,5327000
,,農林水産業費受託事業収入,,,5325000,5327000
,,,農業費受託事,"備考 農地中間管理事業受託金 5,327",,5327000
,雑入,,,,,3160903000
,,滞納処分費,,,1030000,1030000
,,,滞納処分費,"備考 滞納処分費 1,030",,1030000
,,弁償金,,,79000,65000
,,違約金及び延納利息,,,1000,1000
,,障害者福祉費納付金,,,192845000,196527000
,,,障害者福祉費,"備考 心身障害者扶養共済制度給付金 27,130",,31803000
,,環境対策費納付金,,,8086000,8057000
,,,公害病補償給,"備考 環境保全協会納付金 8,057",,8057000
,,雑入,,,2206437000,2955223000
,,,議会費雑入,備考 議会タブレット議員負担金 768,,769000
市債,,,,,,10676600000
,市債,,,,,10676600000
,,総務債,,,227300000,393700000
,,,総務管理債,"備考 財産管理事業債 17,700",,393700000
,,民生債,,,16800000,116600000
,,,社会福祉債,"備考 社会福祉センター改修事業債 23,000",,23000000
,,衛生債,,,222200000,480900000
,,,保健衛生債,"備考 救急医療センター改修事業債 28,000",,31700000
,,労働債,,,0,104700000
,,,労働債,"備考 勤労者総合福祉センター解体事業債 104,700",,104700000
,,農林水産業債,,,123700000,129000000
,,,農業債,"備考 農道等整備事業債 63,000",,63000000
,,商工債,,,32100000,13300000
,,,商工債,"備考 産業交流展示場改修事業債 13,300",,13300000
,,土木債,,,2133000000,2952300000
,,,土木管理債,"備考 急傾斜地整備事業債 15,000",,15000000
,,消防債,,,116400000,404700000
,,,消防債,"備考 消防施設整備事業債 383,200",,404700000
,,教育債,,,3071500000,6045400000
,,,小学校債,"備考 小学校空調設備整備事業債 58,500",,444000000
,,災害復旧債,,,20000000,36000000
,,,土木施設災害,"備考 土木管理施設災害復旧事業債 36,000",,36000000
議会費,,,,,,481596000
,議会費,,,,,481596000
,,議会費,,,489257000,481596000
,,,報酬,"備考 001 給与費 442,593",,206011000
,,,給与費,,,442593000
総務費,,,,,,9013376000
,総務管理費,,,,,7519634000
,,一般管理費,,,2122248000,2074044000
,,,給料,"備考 001 給与費 2,064,993",,765532000
,,,給与費,,,2064993000
,,人事管理費,,,175506000,191399000
,,,報酬,"備考 001 給与費 106,190",,46361000
,,,給与費,,,106190000
,,文書費,,,63080000,61802000
,,,報酬,"備考 001 給与費 8,670",,5859000
,,,給与費,,,8670000
,,市史編さん,,,3544000,3824000
,,,報酬,"備考 001 給与費 3,682",,2529000
,,,給与費,,,3682000
,,広報広聴費,,,97891000,95342000
,,,報酬,"備考 001 給与費 3,460",,3241000
,,,給与費,,,3460000
,,シティプロ,,,68765000,90886000
,,,報酬,"備考 001 給与費 3,096",,2093000
,,,給与費,,,3096000
,,市民相談費,,,15347000,15367000
,,,報酬,"備考 001 給与費 11,427",,8669000
,,,給与費,,,11427000
,,消費者対策,,,24382000,27011000
,,,報酬,"備考 001 給与費 20,886",,14148000
,,,給与費,,,20886000
,,男女共同参,,,18386000,16151000
,,,報酬,"備考 001 給与費 9,334",,7204000
,,,給与費,,,9334000
,,財政管理費,,,4782000,4185000
,,,報酬,備考 001 給与費 820,,820000
,,,給与費,,,820000
,,会計管理費,,,31186000,61782000
,,,報酬,備考 001 給与費 846,,674000
,,,給与費,,,846000
,,契約管理費,,,7044000,7512000
,,,報酬,"備考 001 給与費 3,531",,2411000
,,,給与費,,,3531000
,,工事検査費,,,542000,553000
,,,旅費51001工事検査費,,,553000
,,財産管理費,,,565019000,681770000
,,,報酬,"備考 001 給与費 23,985",,16734000
,,,給与費,,,23985000
,,公用車管理,,,67557000,68404000
,,,報酬,"備考 001 給与費 6,732",,4764000
,,,給与費,,,6732000
,,行政経営費,,,3611000,71982000
,,,旅費,"備考 001 行政経営費 71,982",,216000
,,,行政経営費,,,71982000
,,情報システ,,,1644013000,2381923000
,,,報償費,"備考 001 情報化推進費 2,333,488",,297000
,,,情報化推進費,,,2333488000
,,公平委員会,,,455000,477000
,,,報酬,備考 001 給与費 210,,210000
,,,給与費,,,210000
,,地域振興費,,,143978000,146712000
,,,報酬,"備考 001 給与費 2,640",,1806000
,,,給与費,,,2640000
,,住居表示整,,,81000,46000
,,式典行事費,,,2041000,1258000
,,多文化共生,,,26848000,28499000
,,,報酬,"備考 001 給与費 22,077",,15712000
,,,給与費,,,22077000
,,防犯まちづ,,,59966000,59465000
,,交通安全対,,,54985000,60427000
,,,報酬,"備考 001 給与費 2,551",,1714000
,,,給与費,,,2551000
,,市民活動支,,,29246000,30112000
,,,報酬,備考 001 給与費 533,,533000
,,,給与費,,,533000
,,市民交流施,,,122592000,113957000
,,,需用費,"備考 001 市民交流施設運営費 113,957",,10263000
,,,市民交流施設運営費,,,113957000
,,まちづくり,,,632665000,650599000
,,,報酬,"備考 001 給与費 456,426",,55492000
,,,給与費,,,456426000
,,まちづくり,,,226305000,250879000
,,,旅費79001まちづくりセンター施設整備費,,,250879000
,,財政調整基,,,735108000,20492000
,,,積立金,"備考 001 財政調整基金積立費 20,492",,20492000
,,,財政調整基金積立費,,,20492000
,,諸費,,,161000000,161000000
,,,補償、補及,"備考 001 総務管理調整諸費 1,000",,1000000
,,,総務管理調整諸費,,,1000000
,徴税費,,,,,850689000
,,税務総務費,,,616446000,648430000
,,,報酬,"備考 001 給与費 629,495",,14346000
,,,給与費,,,629495000
,,賦課徴収費,,,196603000,202259000
,,,報酬,"備考 001 給与費 32,748",,22920000
,,,給与費,,,32748000
,戸籍住民基本台帳費,,,,,495496000
,選挙費,,,,,44707000
,,選挙管理委,,,46542000,44173000
,,,報酬,"備考 001 給与費 43,569",,2488000
,,,給与費,,,43569000
,,常時啓発費,,,504000,534000
,,,報償費80001選挙常時啓発事業費,,,534000
,統計調査費,,,,,36416000
,,統計調査総,,,32093000,36416000
,,,報酬,"備考 001 給与費 34,820",,9551000
,,,給与費,,,34820000
,監査委員費,,,,,66434000
,,監査委員費,,,57647000,66434000
,,,報酬,"備考 001 給与費 65,553",,2220000
,,,給与費,,,65553000
民生費,,,,,,37723107000
,社会福祉費,,,,,5657957000
,,社会福祉総,,,824322000,984592000
,,,報酬,"備考 001 給与費 504,631",,11007000
,,,給与費,,,504631000
,,国民年金費,,,36566000,39246000
,,,報酬,"備考 001 給与費 38,153",,5184000
,,,給与費,,,38153000
,,国民健康保,,,1443607000,1445090000
,,,繰出金,"備考 001 国民健康保険費 1,445,090",,1445090000
,,,国民健康保険費,,,1445090000
,,後期高齢者,,,2902128000,3189029000
,,,負担金、補助,"備考 001 後期高齢者医療費 3,189,029",,93924000
,,,後期高齢者医療費,,,3189029000
,老人福祉費,,,,,3773176000
,,高齢者対策,,,79766000,82996000
,,,報酬,"備考 001 給与費 3,194",,2158000
,,,給与費,,,3194000
,,要援護高齢,,,357680000,565885000
,,,報酬,"備考 001 給与費 14,000",,9647000
,,,給与費,,,14000000
,,介護保険費,,,3125797000,3124295000
,,,需用費2001低所得者利用者負担対策費,,,7043000
,児童福祉費,,,,,15488035000
,,子ども子育,,,789666000,841429000
,,,報酬,"備考 001 給与費 346,313",,60157000
,,,給与費,,,346313000
,,こども家庭,,,206586000,277080000
,,,報酬,"備考 001 給与費 35,788",,17801000
,,,給与費,,,35788000
,,ひとり親家,,,113632000,92094000
,,,旅費54001ひとり親家庭等支援費,,,9947000
,,児童扶養手,,,892076000,860592000
,,,報酬,"備考 001 給与費 7,732",,5394000
,,,給与費,,,7732000
,,こども医療,,,1039533000,1103388000
,,,報酬,"備考 001 給与費 6,476",,4336000
,,,給与費,,,6476000
,,保育園費,,,2843644000,3000349000
,,,報酬,"備考 001 給与費 2,634,533",,535689000
,,,給与費,,,2634533000
,,保育園振興,,,5016643000,5380146000
,,,委託料,"備考 001 私立保育園等振興費 5,380,146",,72317000
,,,私立保育園等振興費,,,5380146000
,障害者福祉費,,,,,8959779000
,,障害者福祉,,,5244000,8874000
,,,報酬,"備考 001 給与費 6,204",,4149000
,,,給与費,,,6204000
,,障害者医療,,,631178000,629127000
,,,旅費2001重度心身障害児（者）医療費,,,444118000
,,障害者自立,,,7003012000,7652261000
,,,報酬,"備考 001 給与費 9,109",,6725000
,,,給与費,,,9109000
,,障害者援護,,,56336000,57648000
,,,報償費,"備考 001 障害者援護活動費 57,648",,837000
,,,障害者援護活動費,,,57648000
,,障害者就労,,,21243000,16558000
,,,委託料,"備考 001 くすの木学園管理費 16,558",,16558000
,,,くすの木学園管理費,,,16558000
,,障害児入所,,,261167000,255918000
,,,報酬,"備考 001 給与費 207,337",,7879000
,,,給与費,,,207337000
,,こども発達,,,341619000,339393000
,,,報酬,"備考 001 給与費 283,816",,37567000
,,,給与費,,,283816000
,生活保護費,,,,,3843652000
,,生活保護総,,,257769000,269839000
,,,報酬,"備考 001 給与費 255,760",,25817000
,,,給与費,,,255760000
,,扶助費,,,3470812000,3573813000
,,,報償費,"備考 001 各種扶助費 3,573,813",,179000
,,,各種扶助費,,,3573813000
,災害救助費,,,,,508000
,,災害救助費,,,512000,508000
,,,旅費1001災害救助費,,,508000
衛生費,,,,,,9518662000
,保健衛生費,,,,,2704012000
,,保健衛生総,,,737133000,814040000
,,,報酬,"備考 001 給与費 407,836",,8146000
,,,給与費,,,407836000
,,予防接種費,,,864230000,777358000
,,,報酬,"備考 001 給与費 11,076",,9275000
,,,給与費,,,11076000
,,動物愛護管,,,13548000,10637000
,,,報酬,"備考 001 給与費 3,458",,2311000
,,,給与費,,,3458000
,,保健活動費,,,537259000,540225000
,,,報酬,"備考 001 給与費 18,067",,15906000
,,,給与費,,,18067000
,,健康ふじ,,,14633000,16136000
,,,報酬,備考 001 給与費 354,,354000
,,,給与費,,,354000
,,指定難病等,,,29198000,31913000
,,,需用費,"備考 001 指定難病等対策費 31,913",,101000
,,,指定難病等対策費,,,31913000
,,環境衛生費,,,55530000,10588000
,,,報酬,"備考 001 給与費 3,278",,2224000
,,,給与費,,,3278000
,,斎場費,,,113712000,121283000
,,,報酬,"備考 001 給与費 44,482",,26614000
,,,給与費,,,44482000
,,フィランセ,,,131014000,131153000
,,,報酬,"備考 001 給与費 6,598",,4452000
,,,給与費,,,6598000
,,看護専門学,,,205247000,220725000
,,,報酬,"備考 001 給与費 165,708",,4230000
,,,給与費,,,165708000
,清掃費,,,,,3353784000
,,清掃総務費,,,610821000,591947000
,,,報酬,"備考 001 給与費 441,492",,393000
,,,給与費,,,441492000
,,塵芥処理費,,,1757619000,1850755000
,,,報酬,"備考 001 給与費 33,139",,22858000
,,,給与費,,,33139000
,,生活排水処,,,804736000,845809000
,,,報酬,"備考 001 給与費 72,487",,8991000
,,,給与費,,,72487000
,,新環境クリ,,,66357000,65273000
,,,委託料,"備考 001 新環境クリーンセンター循環啓発棟運営費 65,273",,65273000
,,,新環境クリーンセンター循環啓発棟運営費,,,65273000
,環境対策費,,,,,1219419000
,,環境政策費,,,261346000,676081000
,,,報酬,"備考 001 給与費 247,931",,5791000
,,,給与費,,,247931000
,,環境保全費,,,57184000,61047000
,,,旅費,"備考 001 環境保全費 61,047",,175000
,,,環境保全費,,,61047000
,,自然保護費,,,10825000,13631000
,,,報酬,"備考 001 給与費 3,156",,2272000
,,,給与費,,,3156000
,,公害病補償,,,474374000,465506000
,,,報酬,"備考 001 給与費 26,632",,2952000
,,,給与費,,,26632000
,,健康被害予,,,3072000,3154000
,,,報償費,"備考 001 健康被害予防費 3,154",,100000
,,,健康被害予防費,,,3154000
,病院費,,,,,2233070000
,,病院事業費,,,2184640000,2233070000
,,,負担金、補助,"備考 001 中央病院事業費 1,426,461",,1928944000
,,,中央病院事業費,,,1426461000
,上水道費,,,,,8377000
,,上水道事業,,,7919000,8377000
,,,負担金、補助,"備考 001 上水道事業費 8,377",,8377000
,,,上水道事業費,,,8377000
労働費,,,,,,272120000
,労働費,,,,,272120000
,,労政費,,,107952000,111568000
,,,報酬,"備考 001 給与費 37,372",,1072000
,,,給与費,,,37372000
,,勤労者総合,,,81735000,132864000
,,,需用費,"備考 001 勤労者総合福祉センター管理費 132,864",,2173000
,,,勤労者総合福祉センター管理費,,,132864000
,,高齢者就業,,,27774000,27688000
,,,需用費,"備考 001 高齢者就業センター管理費 4,688",,1742000
,,,高齢者就業センター管理費,,,4688000
農林水産業費,,,,,,978051000
,農業費,,,,,555203000
,,農業委員会,,,47017000,45945000
,,,報酬,"備考 001 給与費 43,841",,11927000
,,,給与費,,,43841000
,,農業総務費,,,103168000,105307000
,,,報酬,"備考 001 給与費 105,207",,2778000
,,,給与費,,,105207000
,,農業振興費,,,60780000,53981000
,,,報酬,"備考 001 給与費 8,042",,5389000
,,,給与費,,,8042000
,,畜産業費,,,98000,81000
,,土地改良費,,,208738000,255222000
,,,給料,"備考 001 給与費 32,666",,16655000
,,,給与費,,,32666000
,,農業施設管,,,114106000,94667000
,,,旅費62001農業施設管理費,,,94667000
,,林業総務費,,,53293000,55951000
,,,給料,"備考 001 給与費 53,098",,26099000
,,,給与費,,,53098000
,林業費,,,,,419903000
,,林業振興費,,,188878000,191936000
,,,報酬,"備考 001 給与費 3,605",,2454000
,,,給与費,,,3605000
,,林道維持修,,,59855000,36251000
,,,旅費12001林道維持修繕費,,,36251000
,,林業施設整,,,100632000,94373000
,,,給料,"備考 001 給与費 17,682",,8580000
,,,給与費,,,17682000
,,保健休養林,,,37514000,41392000
,,,旅費42001保健休養林管理費,,,19574000
,水産業費,,,,,2945000
,,水産業振興,,,3037000,2945000
,,,旅費16001水産業振興費,,,2945000
商工費,,,,,,3384221000
,商工費,,,,,3384221000
,,産業政策総,,,340557000,379367000
,,,報酬,"備考 001 給与費 377,869",,4385000
,,,給与費,,,377869000
,,産業政策推,,,1941745000,2339047000
,,,旅費,"備考 001 産業政策推進費 2,339,047",,1199000
,,,産業政策推進費,,,2339047000
,,産業支援費,,,326000000,305968000
,,,報酬,"備考 001 給与費 3,586",,2622000
,,,給与費,,,3586000
